Algorithm,N,S,R%,Parity,PayloadBytes,MeanEncSec,MeanDecSec,EncPerByte(s),DecPerByte(s)
RaptorQ,40,92,20.0,8,3680,0.000049079,0.000043366,1.333677536e-08,1.178432971e-08
XOR,40,92,30.0,12,3680,0.000021153,0.000000471,5.748097826e-09,1.278985507e-10
ReedSolomon,40,92,30.0,12,3680,0.000177963,0.000174587,4.835951087e-08,4.744202899e-08
RaptorQ,40,92,30.0,12,3680,0.000044141,0.000039976,1.199474638e-08,1.086304348e-08
XOR,40,92,40.0,16,3680,0.000026917,0.000000611,7.314492754e-09,1.660326087e-10
ReedSolomon,40,92,40.0,16,3680,0.000180561,0.000178483,4.906548913e-08,4.850090580e-08
RaptorQ,40,92,40.0,16,3680,0.000053799,0.000050221,1.461929348e-08,1.364692029e-08
XOR,40,92,50.0,20,3680,0.000035922,0.000000755,9.761503623e-09,2.050724638e-10
ReedSolomon,40,92,50.0,20,3680,0.000201059,0.000203036,5.463559783e-08,5.517282609e-08
RaptorQ,40,92,50.0,20,3680,0.000046439,0.000041713,1.261938406e-08,1.133514493e-08
XOR,40,120,10.0,4,4800,0.000009134,0.000000195,1.902847222e-09,4.062500000e-11
ReedSolomon,40,120,10.0,4,4800,0.000153836,0.000155392,3.204916667e-08,3.237333333e-08
RaptorQ,40,120,10.0,4,4800,0.000040377,0.000040136,8.411944444e-09,8.361597222e-09
XOR,40,120,20.0,8,4800,0.000018068,0.000000387,3.764166667e-09,8.055555556e-11
ReedSolomon,40,120,20.0,8,4800,0.000173279,0.000171633,3.609979167e-08,3.575680556e-08
RaptorQ,40,120,20.0,8,4800,0.000048110,0.000047973,1.002291667e-08,9.994375000e-09
XOR,40,120,30.0,12,4800,0.000027404,0.000000573,5.709236111e-09,1.194444444e-10
ReedSolomon,40,120,30.0,12,4800,0.000176029,0.000174919,3.667277778e-08,3.644138889e-08
RaptorQ,40,120,30.0,12,4800,0.000047042,0.000043738,9.800416667e-09,9.112152778e-09
XOR,40,120,40.0,16,4800,0.000034148,0.000000749,7.114166667e-09,1.559722222e-10
ReedSolomon,40,120,40.0,16,4800,0.000179287,0.000176941,3.735138889e-08,3.686277778e-08
RaptorQ,40,120,40.0,16,4800,0.000062989,0.000047813,1.312277778e-08,9.961041667e-09
XOR,40,120,50.0,20,4800,0.000044934,0.000000943,9.361180556e-09,1.964583333e-10
ReedSolomon,40,120,50.0,20,4800,0.000205496,0.000197439,4.281166667e-08,4.113319444e-08
RaptorQ,40,120,50.0,20,4800,0.000048893,0.000043129,1.018604167e-08,8.985138889e-09
XOR,40,250,10.0,4,10000,0.000017858,0.000000340,1.785800000e-09,3.396666667e-11
ReedSolomon,40,250,10.0,4,10000,0.000154192,0.000159108,1.541923333e-08,1.591076667e-08
RaptorQ,40,250,10.0,4,10000,0.000051349,0.000065937,5.134866667e-09,6.593733333e-09
XOR,40,250,20.0,8,10000,0.000035650,0.000000705,3.564966667e-09,7.050000000e-11
ReedSolomon,40,250,20.0,8,10000,0.000176343,0.000164388,1.763433333e-08,1.643880000e-08
RaptorQ,40,250,20.0,8,10000,0.000055647,0.000050238,5.564666667e-09,5.023800000e-09
XOR,40,250,30.0,12,10000,0.000052925,0.000001081,5.292533333e-09,1.080666667e-10
ReedSolomon,40,250,30.0,12,10000,0.000178283,0.000172347,1.782833333e-08,1.723466667e-08
RaptorQ,40,250,30.0,12,10000,0.000054164,0.000065687,5.416400000e-09,6.568733333e-09
XOR,40,250,40.0,16,10000,0.000070543,0.000001583,7.054333333e-09,1.583333333e-10
ReedSolomon,40,250,40.0,16,10000,0.000182776,0.000195746,1.827763333e-08,1.957456667e-08
RaptorQ,40,250,40.0,16,10000,0.000056645,0.000049903,5.664466667e-09,4.990300000e-09
XOR,40,250,50.0,20,10000,0.000088349,0.000001787,8.834933333e-09,1.787000000e-10
ReedSolomon,40,250,50.0,20,10000,0.000201139,0.000199434,2.011390000e-08,1.994340000e-08
RaptorQ,40,250,50.0,20,10000,0.000063573,0.000056237,6.357266667e-09,5.623666667e-09
XOR,40,512,10.0,4,20480,0.000036014,0.000000626,1.758496094e-09,3.058268229e-11
ReedSolomon,40,512,10.0,4,20480,0.000159094,0.000150647,7.768261719e-09,7.355810547e-09
RaptorQ,40,512,10.0,4,20480,0.000077867,0.000074866,3.802099609e-09,3.655582682e-09
XOR,40,512,20.0,8,20480,0.000070634,0.000001381,3.448909505e-09,6.743164062e-11
ReedSolomon,40,512,20.0,8,20480,0.000167148,0.000160724,8.161539714e-09,7.847867839e-09
RaptorQ,40,512,20.0,8,20480,0.000066435,0.000073263,3.243896484e-09,3.577278646e-09
XOR,40,512,30.0,12,20480,0.000109079,0.000002897,5.326106771e-09,1.414388021e-10
ReedSolomon,40,512,30.0,12,20480,0.000181290,0.000171064,8.852050781e-09,8.352750651e-09
RaptorQ,40,512,30.0,12,20480,0.000073398,0.000077816,3.583886719e-09,3.799625651e-09
XOR,40,512,40.0,16,20480,0.000145590,0.000002801,7.108886719e-09,1.367513021e-10
ReedSolomon,40,512,40.0,16,20480,0.000194720,0.000193262,9.507828776e-09,9.436604818e-09
RaptorQ,40,512,40.0,16,20480,0.000069765,0.000068278,3.406510417e-09,3.333902995e-09
