Algorithm,N,S,R%,Parity,PayloadBytes,MeanEncSec,MeanDecSec,EncPerByte(s),DecPerByte(s)
ReedSolomon,10,120,30.0,3,1200,0.000008933,0.000008606,7.443888889e-09,7.171388889e-09
RaptorQ,10,120,30.0,3,1200,0.000031335,0.000029491,2.611250000e-08,2.457555556e-08
XOR,10,120,40.0,4,1200,0.000004934,0.000000298,4.111666667e-09,2.483333333e-10
ReedSolomon,10,120,40.0,4,1200,0.000010371,0.000009152,8.642777778e-09,7.626388889e-09
RaptorQ,10,120,40.0,4,1200,0.000032121,0.000031335,2.676777778e-08,2.611277778e-08
XOR,10,120,50.0,5,1200,0.000005110,0.000001093,4.258055556e-09,9.111111111e-10
ReedSolomon,10,120,50.0,5,1200,0.000012390,0.000008362,1.032527778e-08,6.968333333e-09
RaptorQ,10,120,50.0,5,1200,0.000032080,0.000030519,2.673333333e-08,2.543222222e-08
XOR,10,250,10.0,1,2500,0.000002626,0.000000383,1.050400000e-09,1.530666667e-10
ReedSolomon,10,250,10.0,1,2500,0.000008091,0.000011408,3.236533333e-09,4.563066667e-09
RaptorQ,10,250,10.0,1,2500,0.000058013,0.000079878,2.320520000e-08,3.195120000e-08
XOR,10,250,20.0,2,2500,0.000004147,0.000000226,1.658933333e-09,9.040000000e-11
ReedSolomon,10,250,20.0,2,2500,0.000010783,0.000011885,4.313333333e-09,4.754000000e-09
RaptorQ,10,250,20.0,2,2500,0.000053701,0.000105842,2.148053333e-08,4.233680000e-08
XOR,10,250,30.0,3,2500,0.000007409,0.000000385,2.963600000e-09,1.538666667e-10
ReedSolomon,10,250,30.0,3,2500,0.000011138,0.000007728,4.455333333e-09,3.091066667e-09
RaptorQ,10,250,30.0,3,2500,0.000040469,0.000042912,1.618746667e-08,1.716493333e-08
XOR,10,250,40.0,4,2500,0.000005652,0.000000700,2.260933333e-09,2.798666667e-10
ReedSolomon,10,250,40.0,4,2500,0.000008127,0.000007027,3.250800000e-09,2.810933333e-09
RaptorQ,10,250,40.0,4,2500,0.000032434,0.000028187,1.297373333e-08,1.127480000e-08
XOR,10,250,50.0,5,2500,0.000006484,0.000000433,2.593466667e-09,1.733333333e-10
ReedSolomon,10,250,50.0,5,2500,0.000006747,0.000005536,2.698933333e-09,2.214266667e-09
RaptorQ,10,250,50.0,5,2500,0.000020454,0.000018425,8.181600000e-09,7.370000000e-09
XOR,10,512,10.0,1,5120,0.000002441,0.000000066,4.766927083e-10,1.289062500e-11
ReedSolomon,10,512,10.0,1,5120,0.000005171,0.000004536,1.009895833e-09,8.859375000e-10
RaptorQ,10,512,10.0,1,5120,0.000035365,0.000036851,6.907226563e-09,7.197395833e-09
XOR,10,512,20.0,2,5120,0.000008654,0.000000546,1.690234375e-09,1.065755208e-10
ReedSolomon,10,512,20.0,2,5120,0.000009696,0.000007858,1.893815104e-09,1.534830729e-09
RaptorQ,10,512,20.0,2,5120,0.000046828,0.000063028,9.146158854e-09,1.231015625e-08
XOR,10,512,30.0,3,5120,0.000012602,0.000000891,2.461328125e-09,1.739583333e-10
ReedSolomon,10,512,30.0,3,5120,0.000011777,0.000009291,2.300195313e-09,1.814713542e-09
RaptorQ,10,512,30.0,3,5120,0.000082135,0.000053340,1.604192708e-08,1.041796875e-08
XOR,10,512,40.0,4,5120,0.000018076,0.000001377,3.530403646e-09,2.690104167e-10
ReedSolomon,10,512,40.0,4,5120,0.000012986,0.000010808,2.536328125e-09,2.110872396e-09
RaptorQ,10,512,40.0,4,5120,0.000048287,0.000044008,9.430989583e-09,8.595247396e-09
XOR,10,512,50.0,5,5120,0.000022250,0.000001610,4.345703125e-09,3.145182292e-10
ReedSolomon,10,512,50.0,5,5120,0.000010262,0.000009220,2.004296875e-09,1.800846354e-09
RaptorQ,10,512,50.0,5,5120,0.000064747,0.000040848,1.264583333e-08,7.978190104e-09
XOR,20,64,10.0,2,1280,0.000003011,0.000000176,2.352343750e-09,1.377604167e-10
ReedSolomon,20,64,10.0,2,1280,0.000058385,0.000054645,4.561328125e-08,4.269114583e-08
RaptorQ,20,64,10.0,2,1280,0.000053685,0.000052997,4.194166667e-08,4.140416667e-08
XOR,20,64,20.0,4,1280,0.000005784,0.000000305,4.519010417e-09,2.382812500e-10
ReedSolomon,20,64,20.0,4,1280,0.000061263,0.000054816,4.786197917e-08,4.282526042e-08
RaptorQ,20,64,20.0,4,1280,0.000050431,0.000043980,3.939947917e-08,3.435911458e-08
XOR,20,64,30.0,6,1280,0.000010386,0.000000440,8.113802083e-09,3.440104167e-10
ReedSolomon,20,64,30.0,6,1280,0.000091252,0.000074274,7.129036458e-08,5.802630208e-08
RaptorQ,20,64,30.0,6,1280,0.000066016,0.000089898,5.157500000e-08,7.023281250e-08
XOR,20,64,40.0,8,1280,0.000013752,0.000000667,1.074375000e-08,5.210937500e-10
ReedSolomon,20,64,40.0,8,1280,0.000073410,0.000069507,5.735156250e-08,5.430234375e-08
RaptorQ,20,64,40.0,8,1280,0.000064878,0.000058928,5.068567708e-08,4.603750000e-08
XOR,20,64,50.0,10,1280,0.000017508,0.000000942,1.367786458e-08,7.356770833e-10
ReedSolomon,20,64,50.0,10,1280,0.000075536,0.000073253,5.901223958e-08,5.722916667e-08
RaptorQ,20,64,50.0,10,1280,0.000066117,0.000050833,5.165364583e-08,3.971354167e-08
XOR,20,92,10.0,2,1840,0.000005267,0.000000221,2.862500000e-09,1.201086957e-10
ReedSolomon,20,92,10.0,2,1840,0.000066696,0.000064976,3.624764493e-08,3.531304348e-08
RaptorQ,20,92,10.0,2,1840,0.000065931,0.000061806,3.583188406e-08,3.359003623e-08
XOR,20,92,20.0,4,1840,0.000011726,0.000000484,6.372644928e-09,2.628623188e-10
ReedSolomon,20,92,20.0,4,1840,0.000078352,0.000079961,4.258242754e-08,4.345688406e-08
RaptorQ,20,92,20.0,4,1840,0.000066086,0.000067203,3.591648551e-08,3.652355072e-08
XOR,20,92,30.0,6,1840,0.000018060,0.000000777,9.815036232e-09,4.224637681e-10
ReedSolomon,20,92,30.0,6,1840,0.000088597,0.000089854,4.815054348e-08,4.883369565e-08
RaptorQ,20,92,30.0,6,1840,0.000086798,0.000100066,4.717300725e-08,5.438369565e-08
XOR,20,92,40.0,8,1840,0.000027654,0.000001161,1.502916667e-08,6.309782609e-10
ReedSolomon,20,92,40.0,8,1840,0.000110956,0.000109501,6.030235507e-08,5.951141304e-08
RaptorQ,20,92,40.0,8,1840,0.000117608,0.000105778,6.391757246e-08,5.748786232e-08
XOR,20,92,50.0,10,1840,0.000037546,0.000001590,2.040561594e-08,8.639492754e-10
